generations,avg_obj
0,-659.7408517412231
1,-659.7925819119876
2,-659.8197172901951
3,-659.8376262515947
4,-659.8509306480275
5,-659.8618638385457
6,-659.8712138079218
7,-659.878304424873
8,-659.8847572502783
9,-659.8897066029278
10,-659.8933978479084
11,-659.8934824448659
12,-659.8934824448659
13,-659.8934824448659
14,-659.8934824448659
15,-659.8934824448659
16,-659.8934824448659
17,-659.8934824448659
18,-659.8934824448659
19,-659.8934824448659
20,-659.8934824448659
21,-659.8934824448659
22,-659.8934824448659
23,-659.8934824448659
24,-659.8934824448659
25,-659.8934824448659
26,-659.8934824448659
27,-659.8934824448659
28,-659.8934824448659
29,-659.8934824448659
30,-659.8934824448659
31,-659.8934824448659
32,-659.8934824448659
33,-659.8934824448659
34,-659.8934824448659
35,-659.8934824448659
36,-659.8934824448659
37,-659.8934824448659
38,-659.8934824448659
39,-659.8934824448659
40,-659.8934824448659
41,-659.8934824448659
42,-659.8934824448659
43,-659.8934824448659
44,-659.8934824448659
45,-659.8934824448659
46,-659.8934824448659
47,-659.8934824448659
48,-659.8934824448659
49,-659.8934824448659
50,-659.8934824448659
51,-659.8934824448659
52,-659.8934824448659
53,-659.8934824448659
54,-659.8934824448659
55,-659.8934824448659
56,-659.8934824448659
57,-659.8934824448659
58,-659.8934824448659
59,-659.8934824448659
