generations,avg_obj
0,-385.5709284105994
1,-385.63820934507373
2,-385.66371352161883
3,-385.68129171101265
4,-385.6947742798231
5,-385.7054461392909
6,-385.7147528383893
7,-385.72271303961384
8,-385.72851578799737
9,-385.7327325683693
10,-385.7345117942109
11,-385.7345117942109
12,-385.7345117942109
13,-385.7345117942109
14,-385.7345117942109
15,-385.7345117942109
16,-385.7345117942109
17,-385.7345117942109
18,-385.7345117942109
19,-385.7345117942109
20,-385.7345117942109
21,-385.7345117942109
22,-385.7345117942109
23,-385.7345117942109
24,-385.7345117942109
25,-385.7345117942109
26,-385.7345117942109
27,-385.7345117942109
28,-385.7345117942109
29,-385.7345117942109
30,-385.7345117942109
31,-385.7345117942109
32,-385.7345117942109
33,-385.7345117942109
34,-385.7345117942109
35,-385.7345117942109
36,-385.7345117942109
37,-385.7345117942109
38,-385.7345117942109
39,-385.7345117942109
40,-385.7345117942109
41,-385.7345117942109
42,-385.7345117942109
43,-385.7345117942109
44,-385.7345117942109
45,-385.7345117942109
46,-385.7345117942109
47,-385.7345117942109
48,-385.7345117942109
49,-385.7345117942109
50,-385.7345117942109
51,-385.7345117942109
52,-385.7345117942109
53,-385.7345117942109
54,-385.7345117942109
55,-385.7345117942109
56,-385.7345117942109
57,-385.7345117942109
58,-385.7345117942109
59,-385.7345117942109
