generations,avg_obj
0,0.7018216012925981
1,0.4975366639567992
2,0.40488238261081244
3,0.3508496125510099
4,0.3137502540070661
5,0.289390264116407
6,0.27352610141371075
7,0.264537206860409
8,0.26363342104416115
9,0.26363342104416115
10,0.26363342104416115
11,0.26363342104416115
12,0.26363342104416115
13,0.26363342104416115
14,0.26363342104416115
15,0.26363342104416115
16,0.26363342104416115
17,0.26363342104416115
18,0.26363342104416115
19,0.26363342104416115
20,0.26363342104416115
21,0.26363342104416115
22,0.26363342104416115
23,0.26363342104416115
24,0.26363342104416115
25,0.26363342104416115
26,0.26363342104416115
27,0.26363342104416115
28,0.26363342104416115
29,0.26363342104416115
30,0.26363342104416115
31,0.26363342104416115
32,0.26363342104416115
33,0.26363342104416115
34,0.26363342104416115
35,0.26363342104416115
36,0.26363342104416115
37,0.26363342104416115
38,0.26363342104416115
39,0.26363342104416115
40,0.26363342104416115
41,0.26363342104416115
42,0.26363342104416115
43,0.26363342104416115
44,0.26363342104416115
45,0.26363342104416115
46,0.26363342104416115
47,0.26363342104416115
48,0.26363342104416115
49,0.26363342104416115
50,0.26363342104416115
51,0.26363342104416115
52,0.26363342104416115
53,0.26363342104416115
54,0.26363342104416115
55,0.26363342104416115
56,0.26363342104416115
57,0.26363342104416115
58,0.26363342104416115
59,0.26363342104416115
